method,path,backend_files,path_used_with_other_methods
GET,/,app\legacy_app.py; routes\admin.py,no
GET,/healthz,app\legacy_app.py,no
GET,/health,app\legacy_app.py; routes\voice.py,no
GET,/api/health,app\legacy_app.py,no
GET,/api/voice/health,app\legacy_app.py,no
GET,/favicon.ico,app\legacy_app.py,no
GET,/accounts/search,routes\accounts.py,no
GET,/stream,routes\admin.py,no
POST,/login,routes\auth.py,no
POST,/chat,routes\chat.py,no
POST,/email/send,routes\email_api.py,no
GET,/greet,routes\greet.py,no
GET,/profile,routes\profile.py,no
POST,/profile,routes\profile.py,no
GET,/askchip-diagnostics.html,routes\tools.py,no
GET,/admin-log.html,routes\tools.py,no
