id,js_files
recordBtn,static/chip/chip.js
recordPrompt,static/chip/chip.js
caption,static/chip/chip.js
chipRig,static/chip/chip-viseme.js
chipFace,static/chip/chip-viseme.js
chipMouth,static/chip/chip-viseme.js
profileEmail,static/js/addons-email-intents.js
profileName,static/js/addons-email-intents.js
profileTitle,static/js/addons-email-intents.js
profileRegion,static/js/addons-email-intents.js
loginView,static/js/ui.js
profileView,static/js/ui.js
chatView,static/js/ui.js
appStatus,static/js/ui.js
chatLog,static/js/ui.js
userMenu,static/js/ui.js
userEmail,static/js/ui.js
askChipToolbar,static/user-experience/js/core/dom.js
guidePanel,static/user-experience/js/core/state.js
debugPanel,static/user-experience/js/core/state.js
